Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Алексійчук,Григорій,Олександрович,Чоловіча,1985-02-19,Зоолог,селище Болград,"узвіз Тепличний 1-й, буд. 248 кв. 680, Добропілля, 43546",+380 73 571-04-02,shyianvira@example.net
Дзиндра,Лукʼян,Павлович,Чоловіча,1965-08-16,Няня,хутір Міусинськ,"вулиця Композитора Глинки, буд. 931 кв. 36, Ківерці, 20878",+380 (60) 508-33-28,sparasiuk@example.com
Зінченко,Валерій,Сергійович,Чоловіча,1950-08-07,Кур'єр,селище Богодухів,"площа Разумовська, буд. 071, Старий Крим, 13304",538-67-52,qsimashkevych@example.net
Романенко,Мирон,Петрович,Чоловіча,1938-12-23,Стоматолог,село Приморськ (Україна),"сквер Світлий, буд. 023 кв. 57, Куп'янськ, 20789",889 43 07,tkacholeksandr@example.com
Вівчаренко,Остап,Олександрович,Чоловіча,1942-01-12,Астроном,місто Сновськ,"узвіз Ільфа і Петрова, буд. 4 кв. 74, Ічня, 67318",009 632-40-81,iaremaleon@example.org
Алексійчук,Леон,Юрійович,Чоловіча,2004-01-05,Випробувач,село Баранівка,"набережна Пересипський 1-й, буд. 24 кв. 55, Первомайськ, 63747",+380 61 958-73-83,amaliiasvyrydenko@example.net
Гаврилів,Яків,Олександрович,Чоловіча,2003-08-10,Художник,селище Тячів,"парк Нікітіна, буд. 49 кв. 1, Боярка, 88083",010 525 16 29,iakiv13@example.org
Юхименко,Петро,Олександрович,Чоловіча,1971-04-14,Юрист,село Ананьїв,"площа Санітарна, буд. 14 кв. 966, Судова Вишня, 07437",+380 09 131-63-98,vpetrenko@example.com
Шаповал,Пилип,Петрович,Чоловіча,1997-06-20,Дизайнер,місто Антрацит ,"шосе Маяковського, буд. 729, Малин, 77819",059 029 00 46,svitlana40@example.com
Канівець,Богуслав,Олександрович,Чоловіча,2002-09-15,Сценарист,село Арциз,"вулиця Лядова, буд. 0 кв. 66, Бібрка, 97762",+380 (15) 843-43-88,gpushkar@example.org
Романенко,Григорій,Андрійович,Чоловіча,1961-01-18,Бібліограф,село Кіцмань,"набережна Абрикосова, буд. 406, Буринь, 02314",860-27-86,ieva32@example.net
Євдокименко,Борис,Сергійович,Чоловіча,1949-06-02,Стоматолог,місто Хмельницький,"шосе Виноградна 2-га, буд. 581 кв. 75, Рені, 09482",+380 83 180-25-82,onysymarkhymovych@example.org
Філіпенко,Аарон,Павлович,Чоловіча,1994-02-16,Реставратор,хутір Немирів,"парк Шовкуненка, буд. 14 кв. 61, Ічня, 37528",+380 (16) 181-90-54,ckashchenko@example.org
Гунько,Устим,Юрійович,Чоловіча,1977-06-02,Менеджер,село Болград,"сквер Донецька, буд. 5 кв. 3, Вашківці, 19096",+380 93 013 32 99,chmilamaliia@example.com
Щириця,Захар,Володимирович,Чоловіча,2000-06-04,Музикознавець,хутір Конотоп,"провулок Короткий, буд. 58, Авдіївка, 90991",+380 57 528 79 53,violettaieresko@example.net
Харченко,Юстим,Анатолійович,Чоловіча,1974-04-27,Водій,селище Острог,"провулок Трояндова, буд. 99, Миколаївка , 57635",+380 11 420 26 16,pavlo07@example.com
Мазур,Артем,Павлович,Чоловіча,1969-04-17,Петрограф,селище Черкаси,"шосе Івана Вазова, буд. 3, Слов'янськ, 69988",+380 (87) 169-48-11,tarasbebeshko@example.net
Комар,Богуслав,Юрійович,Чоловіча,1975-02-01,Парфюмер,селище Славутич,"провулок Іванова Ігоря, буд. 52 кв. 7, Барвінкове, 32119",079 601-33-59,skorykielysaveta@example.net
Забашта,Левко,Михайлович,Чоловіча,1980-08-17,Нотаріус,хутір Білопілля,"проспект Академіка Вільямса, буд. 461 кв. 93, Добропілля, 96403",052 95 61,hanna95@example.org
Чайка,Нестор,Сергійович,Чоловіча,1973-04-27,Кінорежисер,село Герца,"провулок Першотравневий 3-й, буд. 3 кв. 255, Генічеськ, 84794",580-29-29,marynapushkar@example.net
Данько,Демид,Володимирович,Чоловіча,2005-04-08,Дизайнер,село Буча,"площа Донцова Дмитра, буд. 55 кв. 6, Українськ, 67015",+380 35 354 92 69,labavira@example.org
Лупій,Болеслав,Петрович,Чоловіча,1953-12-05,Адвокат,місто Кропивницький,"проспект Морський, буд. 893 кв. 013, Коростишів, 79042",+380 93 384 06 34,vasyltsarenko@example.org
Тарасенко,Герман,Володимирович,Чоловіча,1947-10-24,Геолог,село Довжанськ,"вулиця Самарська, буд. 70 кв. 5, Харцизьк, 01686",709 29 20,iesypenkovolodymyr@example.org
Алексеєнко,Ілля,Юрійович,Чоловіча,1990-02-25,Ветеринар,село Вознесенськ,"шосе Люстдорфський, буд. 288, Єнакієве, 77909",094 426-17-18,gpoltavets@example.com
Данилюк,Ярослав,Анатолійович,Чоловіча,1974-02-06,Маркетолог,хутір Рені,"провулок Шишкіна 3-й, буд. 436 кв. 13, Добропілля, 03760",+380 (21) 694-33-15,rtsybulenko@example.com
Корбут,Климент,Сергійович,Чоловіча,1971-03-09,Реабілітолог,селище Моспине,"вулиця Пересипський 1-й, буд. 533, Інкерман, 63388",029 962-15-01,klyment43@example.com
Атрощенко,Прохір,Володимирович,Чоловіча,1984-01-28,Історик,село Нікополь,"парк Ламаний, буд. 12, Селидове, 14751",+380 (92) 201-06-34,pzinchuk@example.org
Верховинець,Теодор,Юрійович,Чоловіча,1952-12-15,Антрополог,селище Ірміно,"узвіз Шкіперська, буд. 18 кв. 52, Золочів, 41692",+380 51 917-96-78,aaronparasiuk@example.net
Єрченко,Варфоломій,Павлович,Чоловіча,1964-11-28,Різноробочий,селище Любомль,"сквер Дніпропетровська дорога, буд. 5, Інкерман, 39742",+380 (47) 060-84-64,anastasiia31@example.org
Бакуменко,Павло,Володимирович,Чоловіча,1957-10-01,Дантист,місто Соснівка ,"парк Данила Крижанівського, буд. 6 кв. 817, Рожище, 89499",851-41-58,gsuprunenko@example.org
Червоненко,Віктор,Іванович,Чоловіча,1956-07-23,Фольклорист,селище Новодружеськ,"набережна Юрженка Олександра, буд. 705, Полонне, 97621",+380 35 875 36 70,alina13@example.com
Вітрук,Арсен,Олександрович,Чоловіча,1978-08-03,Випробувач,місто Шепетівка,"набережна Байкальська, буд. 15, Новогродівка, 77671",937-76-81,kozachenkonataliia@example.org
Романець,Назар,Олександрович,Чоловіча,1992-01-10,Намотувальник,хутір Сквира,"вулиця Отрадна, буд. 7 кв. 379, Чигирин, 55641",133-72-24,arsenhabelko@example.org
Чаленко,Гордій,Михайлович,Чоловіча,1948-02-07,Державний службовець,місто Збараж,"сквер Листяний, буд. 1 кв. 716, Федорівка, 80862",+380 33 007 11 81,bohuslavapryimak@example.com
Пустовіт,Богдан,Андрійович,Чоловіча,1958-11-22,Мінералог,місто Корюківка,"узвіз 11-та Суворовська, буд. 2, Дубно, 13882",+380 89 268-54-20,batihtetiana@example.net
Якименко,Венедикт,Анатолійович,Чоловіча,1982-06-16,Петрограф,хутір Галич,"узвіз Лінія 22-га, буд. 85 кв. 47, Вуглегірськ, 41789",+380 69 762-92-17,tereza19@example.net
Єресько,Гордій,Павлович,Чоловіча,1964-09-04,Клавішник,місто Світлодарськ,"провулок Колекційна, буд. 775 кв. 2, Жмеринка, 02358",+380 96 037 36 45,uverkhola@example.net
Москаль,Олесь,Олександрович,Чоловіча,1939-07-18,Соціолог,місто Бердянськ,"шосе Першотравневий 3-й, буд. 82 кв. 696, Дніпро , 82725",+380 (92) 524-66-34,niurchenko@example.net
